Metric,,RMSE,NLL
Model,,ensemble,ensemble
Metric,Dataset,,
Mean,boston,2.599069428443909,2.2095581173896788
Mean,concrete,5.377931666374207,2.988207447528839
Mean,energy-efficiency,1.385651421546936,1.2570760250091553
Mean,kin8nm,0.05789336711168289,-1.3820912539958954
Mean,naval,0.001316053792834282,-6.081660890579224
Mean,power-plant,2.9165540099143983,2.5383305191993712
Mean,protein,3.567861330509186,2.524437189102173
Mean,wine,0.604052796959877,0.9374512135982513
Mean,yacht,2.1327687323093416,1.098475342988968
Error,boston,0.2261467495316332,0.04650722181834954
Error,concrete,0.11856284203851762,0.01960541212546725
Error,energy-efficiency,0.08348914841167956,0.039573898429764914
Error,kin8nm,0.002503793991015181,0.018390801194353674
Error,naval,0.00019075675018974273,0.05289480915541213
Error,power-plant,0.07186123878274484,0.014429979659944173
Error,protein,0.10086903675000902,0.02224301589614412
Error,wine,0.02744632070507939,0.03944141261107686
Error,yacht,0.25434693355311383,0.08177335158932952
